yyyy,cpi,gold,infl,tbill,ltyld10,ltrate,callmoney,aaa,baa,corprate,corprate.i,sp500index,sp500d12,sp500e12,vwm,vwmx,svar,bkmk,ntis,eqis,csp,cay,ik
2001,13.71,271.04,1.6,1.69,5.09,3.7,,6.77,8.05,10.64,11.74,1148.08,15.74,24.69,-11.9,-13.06,4.56,13.12,1.6,8.65,-0.13,0.96,3.76
2002,14.05,309.73,2.48,1.19,4.03,17.84,,6.21,7.45,16.64,12.81,879.82,16.077,27.59,-21.78,-23.06,6.77,29.54,2.63,8.2,-0.41,0.04,3.42
2003,14.34,363.38,2.04,0.9,4.27,0.9,,5.62,6.6,5.27,12.9,1111.92,17.385,48.74,28.7,26.4,2.93,21.87,0.69,7.24,,-1.3,3.5
2004,14.82,409.72,3.34,2.19,4.23,8.5,,5.47,6.15,8.72,7.34,1211.92,19.44,58.55,10.98,8.75,1.23,27.06,1.29,7.83,,-2.52,3.57
2005,15.31,444.74,3.34,3.89,4.47,7.81,,5.37,6.32,5.87,6.63,1248.29,22.22,69.93,5.22,3.3,1.05,31.35,0.3,5.11,,-1.7,3.59
2006,15.7,603.46,2.52,4.85,4.56,1.18,,5.32,6.22,3.24,5.95,1418.3,24.881,81.51,15.67,13.5,1.01,28.17,-1.54,4.91,,-1.84,3.66
2007,16.34,695.39,4.11,3,4.1,9.89,,5.49,6.65,2.59,3.37,1468.36,27.731,66.18,5.75,3.75,2.54,25.06,-4.18,7.77,,-1.74,3.74
2008,16.34,871.96,-0.02,0.03,2.42,25.86,,5.05,8.43,8.79,10.73,903.25,28.387,14.88,-36.46,-37.96,16.85,35.5,-2.44,21.74,,0.2,3.26
2009,16.8,972.35,2.81,0.05,3.59,-14.9,,5.26,6.37,3,2.59,1115.1,22.407,50.97,26.48,23.29,7.44,32.55,1.06,19.71,,-2.93,2.8
2010,17.04,1224.53,1.42,0.14,3.29,10.14,,5.02,6.1,12.44,8.13,1257.64,22.73,77.35,15.15,12.7,3.25,35.81,1.26,12.97,,-3.65,2.99
2011,17.55,1571.52,3.02,0.01,1.98,27.1,,3.93,5.25,17.94,19.38,1257.6,26.425,86.95,1.82,-0.28,5.4,35.72,-0.65,12.82,,-2.46,3.19
2012,17.86,1668.98,1.76,0.07,1.72,3.44,,3.65,4.63,10.67,7.72,1426.19,31.247,86.51,16.04,13.37,1.62,34.9,-1.23,11.65,,-3.21,3.26
2013,18.13,1411.23,1.51,0.07,2.9,-12.79,,4.62,5.38,-7.08,-8.35,1848.36,34.99,100.2,32.49,29.69,1.25,30.44,1.22,12.87,,-3.34,3.29
2014,18.25,1286.4,0.69,0.03,2.1,24.74,,3.79,4.74,17.27,15.7,2058.9,39.44,102.31,13.54,11.23,1.29,32.38,0.56,10.93,,-3.72,3.36
2015,18.38,1160.6,0.73,0.23,2.43,-0.64,,3.97,5.46,-1.01,1.43,2043.94,43.39,86.53,1.46,-0.71,2.39,31.36,-2.161,10.33,,-4.47,3.3
2016,18.885,1250.74,2.075,0.51,2.72,1.761,,4.06,4.83,6.701,,2238.83,45.701,94.55,11.793,9.33,1.712,29.34790969,-2.481,8.954,,-5.64,3.181
2017,19.283,1257.12,2.109,1.32,2.54,6.23,,3.51,4.22,12.244,,2673.61,48.932,109.88,21.989,19.531,0.454,23.53933431,-1.995,7.746,,-3.163,3.314
2018,19.65,1268.49,1.91,2.37,2.84,-0.006,,4.02,5.13,-4.74,,2506.85,53.75,132.39,-4.492,-6.354,2.89,26.80887675,-1.92,8.11,,-2.89,3.49
2019,20.1,1392.6,2.285,1.54,1.9,12.165,,3.01,3.88,19.94,,3230.78,58.24,139.47,31.5,28.9,1.58,22.99438976,-0.73,9.39,,-4.16,3.35
2020,20.374,1771,1.362,0.09,0.9,16.661,,2.26,3.88,15.395,,3756.07,58.279,94.13,19.304,17.127,11.873,21.919,-0.00935,12.814,,-16.108,3.267
